Date,C: Total Cases,H: Hospitalizations,"Z: Hospitalized, ICU",D: Total Deaths,V_T: Total Doses,V_1: First Dose,V_2: Second Dose,V_3: Third Dose,V_4: Fourth Dose,Blank,T: Total Tests,Tbar,Tdot,Positivity,Cbar,Cdot,Hbar,Hdot,Zbar,% in ICU,Hosp Rate,Dbar,Ddot,V,Vdot,Total Variants,Alpha (B.1.1.7),Beta (B.1.351),Delta (B.1.617.2),Gamma (B.1.1.28.1),Kappa (B.1.617.1),Omicron (BA.1),Omicron (BA.2),Omicron (BA.4),Omicron (BA.5),"Sum, Variants","Sum, Alpha (B.1.1.7)","Sum, Beta (B.1.351)","Sum, Delta (B.1.617.2)","Sum, Gamma (B.1.1.28.1)","Sum, Kappa (B.1.617.1)","Sum, Omicron (BA.1)","Sum, Omicron (BA.2)","Sum, Omicron (BA.4)","Sum, Omicron (BA.5)","Dot, Variants","Dot, Alpha (B.1.1.7)","Dot, Beta (B.1.351)","Dot, Delta (B.1.617.2)","Dot, Gamma (B.1.1.28.1)","Dot, Kappa (B.1.617.1)","Dot, Omicron (BA.1)","Dot, Omicron (BA.2)","Dot, Omicron (BA.4)","Dot, Omicron (BA.5)",Total Hospitalization Rate
2020-03-05,1,,,0,,,,,,,58,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,1,,,0,,,,,,,118,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,2,,,0,,,,,,,399,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,3,0.0,0.0,0,,,,,,,853,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,7,1.0,0.0,0,,,,,,,1496,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,16,1.0,0.0,0,,,,,,,2280,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,23,1.0,0.0,0,,,,,,,3614,1259.7142857142858,,,7.571428571428571,,,,,,,0.0,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,26,2.0,1.0,0,,,,,,,4761,1931.5714285714287,671.8571428571429,0.005315755900489049,11.142857142857142,3.571428571428571,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2020-03-13,34,5.0,2.0,0,,,,,,,6348,2821.5714285714284,889.9999999999998,0.005296950240770468,15.857142857142858,4.714285714285715,,,,,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-14,56,5.0,2.0,0,,,,,,,7903,3893.5714285714284,1072.0,0.0071961620469083165,23.571428571428573,7.714285714285715,2.142857142857143,,0.7142857142857143,0.33333333333333337,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-15,67,5.0,2.0,0,,,,,,,9737,5162.714285714285,1269.1428571428569,0.00720396217919856,32.714285714285715,9.142857142857142,2.857142857142857,0.7142857142857144,1.0,0.35,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-16,91,6.0,2.0,0,,,,,,,11222,6552.142857142857,1389.4285714285716,0.00863664404688464,44.714285714285715,12.0,3.5714285714285716,0.7142857142857144,1.2857142857142858,0.36,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-17,102,7.0,3.0,0,,,,,,,13305,8127.142857142857,1575.0,0.007800453514739228,57.0,12.285714285714285,4.428571428571429,0.8571428571428572,1.7142857142857142,0.3870967741935483,,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-18,131,12.0,3.0,1,,,,,,,16183,9922.714285714286,1795.5714285714294,0.008592569019015034,72.42857142857143,15.42857142857143,6.0,1.5714285714285712,2.142857142857143,0.35714285714285715,,0.14285714285714285,0.14285714285714285,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-03-19,163,15.0,8.0,1,,,,,,,19052,11964.285714285714,2041.5714285714275,0.00958645301238542,92.0,19.57142857142857,7.857142857142857,1.8571428571428568,3.142857142857143,0.4,,0.2857142857142857,0.14285714285714285,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2020-03-20,209,16.0,9.0,1,,,,,,,22645,14292.42857142857,2328.142857142857,0.010738172669816531,117.0,25.0,9.428571428571429,1.571428571428572,4.142857142857143,0.43939393939393945,,0.42857142857142855,0.14285714285714285,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-03-21,244,19.0,10.0,1,,,,,,,26152,16899.428571428572,2607.000000000002,0.010301934352567259,143.85714285714286,26.85714285714286,11.428571428571429,2.0,5.285714285714286,0.46249999999999997,,0.5714285714285714,0.14285714285714285,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2020-03-22,291,20.0,10.0,1,,,,,,,29006,19652.14285714286,2752.7142857142862,0.011624889719238153,175.85714285714286,32.0,13.571428571428571,2.1428571428571423,6.428571428571429,0.4736842105263158,,0.7142857142857143,0.1428571428571429,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2020-03-23,343,22.0,10.0,1,,,,,,,31734,22582.428571428572,2930.2857142857138,0.01228549141965679,211.85714285714286,36.0,15.857142857142858,2.2857142857142865,7.571428571428571,0.47747747747747743,,0.8571428571428571,0.1428571428571428,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2020-03-24,411,29.0,11.0,1,,,,,,,34877,25664.14285714286,3081.7142857142862,0.014324123864268493,256.0,44.14285714285714,19.0,3.1428571428571423,8.714285714285714,0.45864661654135336,,1.0,0.1428571428571429,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2020-03-25,474,33.0,11.0,1,,,,,,,36522,28569.714285714286,2905.5714285714275,0.016864152613206163,305.0,49.0,22.0,3.0,9.857142857142858,0.4480519480519481,,1.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2020-03-26,527,34.0,11.0,1,,,,,,,37838,31253.428571428572,2683.7142857142862,0.019376131161503243,357.0,52.0,24.714285714285715,2.7142857142857153,10.285714285714286,0.4161849710982659,,1.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
2020-03-27,612,35.0,13.0,1,,,,,,,41535,33952.0,2698.5714285714275,0.02133403917416623,414.57142857142856,57.571428571428555,27.428571428571427,2.7142857142857117,10.857142857142858,0.39583333333333337,,1.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
