Symbol,Symbol_alpha,Name,Type,DateA,DateB,ValueA,ValueB
N,Latin,Population,Int,2019-10-01,2019-12-31,4384982,4401180
N,Latin,Population,Int,2020-01-01,2020-03-31,4401180,4415700
N,Latin,Population,Int,2020-04-01,2020-06-30,4415700,4420029
N,Latin,Population,Int,2020-07-01,2020-09-30,4420029,4421857
N,Latin,Population,Int,2020-10-01,2020-12-31,4421857,4429077
N,Latin,Population,Int,2021-01-01,2021-03-31,4429077,4436944
N,Latin,Population,Int,2021-04-01,2021-06-30,4436944,4443773
N,Latin,Population,Int,2021-07-01,2021-09-30,4443773,4466124
N,Latin,Population,Int,2021-10-01,2021-12-31,4466124,4482385
N,Latin,Population,Int,2022-01-01,2022-03-31,4482385,4502858
N,Latin,Population,Int,2022-04-01,2022-06-30,4502858,4543111
N,Latin,Population,Int,2022-07-01,2022-09-30,4543111,4601314
N,Latin,Population,Int,2022-10-01,2022-12-31,4601314,4647178
